STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730614 00:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730614 01:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730701 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730713 10:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730713 10:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730713 10:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730713 20:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730713 21:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730718 18:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730719 05:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730719 11:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730719 11:30,0.20, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730719 12:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730719 12:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730719 15:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730722 17:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730801 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730804 12:45,0.20, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730816 15:15,0.20, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730817 16:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730817 19:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730821 22:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730831 21:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730831 21:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 05:00,0.20, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 06:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 08:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 10:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 11:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 16:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 16:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 17:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 21:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 22:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730901 23:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730902 00:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730902 03:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730908 07:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730908 10:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730911 05:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730911 07:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 06:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 07:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 07:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 08:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 08:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 08:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 09:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 09:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730923 10:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730924 19:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 00:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 02:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 03:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 04:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 06:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 06:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 15:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730925 16:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731001 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731008 09:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731008 13:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731008 14:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731008 17:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731023 15:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731023 16:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731029 06:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731029 11:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731101 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731101 05:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731102 19:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731102 20:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731102 22:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731102 23:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 00:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 01:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 04:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 05:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 10:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 11:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 11:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731103 12:00,0.10,A, ,HT
