STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990210 02:45,0.34, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990210 04:45,0.35, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990210 11:15,0.36, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990217 05:45,0.37, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990217 06:30,0.38, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990217 08:15,0.39, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990217 15:30,0.40, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990218 17:30,0.41, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990219 07:15,0.42, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990220 13:30,0.43, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990221 18:30,0.44, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990222 11:30,0.45, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990225 20:45,0.46, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990301 00:15,999.99,[, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990401 00:15,0.63, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990401 08:00,0.64, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990401 08:30,0.65,N, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990403 02:15,0.66, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990403 03:00,0.67, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990403 07:45,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990405 11:15,0.69, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990406 08:00,0.70, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990407 16:30,0.71, , ,HT
